"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"188","celecoxib","DTXSID0022777","NOEC",3813.72,"ug/L","Zebra Danio","Fish",381.37
"189","celecoxib","DTXSID0022777","NOEC",6674.02,"ug/L","Zebra Danio","Fish",381.37
"190","celecoxib","DTXSID0022777","NOEC",9534.31,"ug/L","Zebra Danio","Fish",381.37
"191","furosemide","DTXSID6020648","NOEC",0.61108,"ug/L","Zebra Danio","Fish",330.74
"192","furosemide","DTXSID6020648","NOEC",330.743,"ug/L","Zebra Danio","Fish",330.74
"193","fenofibrate","DTXSID2029874","NOEC",169,"ug/L","Fathead Minnow","Fish",360.83
"194","fenofibrate","DTXSID2029874","NOEC",169,"ug/L","Fathead Minnow","Fish",360.83
"195","fenofibrate","DTXSID2029874","NOEC",3608.37,"ug/L","Topminnow","Fish",360.83
"196","fenofibrate","DTXSID2029874","NOEC",7216.75,"ug/L","Topminnow","Fish",360.83
"197","fenofibrate","DTXSID2029874","NOEC",25,"ug/L","Fathead Minnow","Fish",360.83
"198","fenofibrate","DTXSID2029874","NOEC",144.335,"ug/L","Zebra Danio","Fish",360.83
"199","fenofibrate","DTXSID2029874","NOEC",252.586,"ug/L","Zebra Danio","Fish",360.83
"200","fenofibrate","DTXSID2029874","NOEC",360.837,"ug/L","Goldfish","Fish",360.83
"201","fenofibrate","DTXSID2029874","NOEC",678.374,"ug/L","Rainbow Trout","Fish",360.83
"202","fenofibrate","DTXSID2029874","NOEC",1353.14,"ug/L","Topminnow","Fish",360.83
"203","fenofibrate","DTXSID2029874","NOEC",1443.35,"ug/L","Rainbow Trout","Fish",360.83
"204","fenofibrate","DTXSID2029874","NOEC",36083.7,"ug/L","Goldfish","Fish",360.83
"205","fenofibrate","DTXSID2029874","NOEC",144335,"ug/L","Rainbow Trout","Fish",360.83
"206","fenofibrate","DTXSID2029874","NOEC",360837,"ug/L","Common Carp","Fish",360.83
"207","doxycycline","DTXSID0037653","NOEC",20000,"ug/L","Zebra Danio","Fish",444.44
"208","labetalol","DTXSID2023191","NOEC",328.411,"ug/L","Zebra Danio","Fish",328.412
"209","levofloxacin","DTXSID0041060","NOEC",10000,"ug/L","Fathead Minnow","Fish",361.373
"210","levofloxacin","DTXSID0041060","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians",361.373
